"","Fleet","Seas","catch","cratio"
"1",1,1,0,0
"2",1,2,0,0
"3",1,3,0,0
"4",1,4,0,0
"5",4,1,1536.19,0.358084460837421
"6",4,2,0,0
"7",4,3,0,0
"8",4,4,0,0
"9",5,1,0,0
"10",5,2,0,0
"11",5,3,0,0
"12",5,4,1566.64,0.365182327528716
"13",12,1,37.8,0.00881114485815851
"14",12,2,0,0
"15",12,3,0,0
"16",12,4,283.6,0.066106896343221
"17",17,1,0,0
"18",17,2,0,0
"19",17,3,0,0
"20",17,4,193.9,0.0451979097353687
"21",28,1,10.6784,0.00248912511252275
"22",28,2,36.86,0.00859203173205616
"23",28,3,195.386,0.0455442949538667
"24",28,4,428.967,0.0999918088986689
