F61,F62,F63,F64,F65,F96,F97,F118,F119
-0.52759447,0.186053295,-0.097071681,0.013918569,-0.08410429,0.272545405,0.039499013,0.584747779,0.325649478
-0.52759447,0.186053295,-0.097071681,0.013918569,-0.08410429,0.272545405,0.039499013,0.584747779,0.325649478
-0.52759447,0.186053295,-0.097071681,0.013918569,-0.08410429,0.272545405,0.039499013,0.584747779,0.325649478
-0.52759447,0.186053295,-0.097071681,0.013918569,-0.08410429,0.272545405,0.039499013,0.584747779,0.325649478
-0.52759447,0.186053295,-0.097071681,0.013918569,-0.08410429,0.272545405,0.039499013,0.584747779,0.325649478
-0.52759447,0.186053295,-0.097071681,0.013918569,-0.08410429,0.272545405,0.039499013,0.584747779,0.325649478
-0.52759447,0.186053295,-0.097071681,0.013918569,-0.08410429,0.272545405,0.039499013,0.584747779,0.325649478
-0.52759447,0.186053295,-0.097071681,0.013918569,-0.08410429,0.272545405,0.039499013,0.584747779,0.325649478
-0.52759447,0.186053295,-0.097071681,0.013918569,-0.08410429,0.272545405,0.039499013,0.584747779,0.325649478
-0.52759447,0.186053295,-0.097071681,0.013918569,-0.08410429,0.272545405,0.039499013,0.584747779,0.325649478
-0.52759447,0.186053295,-0.097071681,0.013918569,-0.08410429,0.272545405,0.039499013,0.584747779,0.325649478
-0.52759447,0.186053295,-0.097071681,0.013918569,-0.08410429,0.272545405,0.039499013,0.584747779,0.325649478
-0.52759447,0.186053295,-0.097071681,0.013918569,-0.08410429,0.272545405,0.039499013,0.584747779,0.325649478
-0.52759447,0.186053295,-0.097071681,0.013918569,-0.08410429,0.272545405,0.039499013,0.584747779,0.325649478
-0.52759447,0.186053295,-0.097071681,0.013918569,-0.08410429,0.272545405,0.039499013,0.584747779,0.325649478
-0.52759447,0.186053295,-0.097071681,0.013918569,-0.08410429,0.272545405,0.039499013,0.584747779,0.325649478
-0.52759447,0.186053295,-0.097071681,0.013918569,-0.08410429,0.272545405,0.039499013,0.584747779,0.325649478
-0.52759447,0.186053295,-0.097071681,0.013918569,-0.08410429,0.272545405,0.039499013,0.584747779,0.325649478
-0.52759447,0.186053295,-0.097071681,0.013918569,-0.08410429,0.272545405,0.039499013,0.584747779,0.325649478
-0.52759447,0.186053295,-0.097071681,0.013918569,-0.08410429,0.272545405,0.039499013,0.584747779,0.325649478
-0.52759447,0.186053295,-0.097071681,0.013918569,-0.08410429,0.272545405,0.039499013,0.584747779,0.325649478
-0.52759447,0.186053295,-0.097071681,0.013918569,-0.08410429,0.272545405,0.039499013,0.584747779,0.325649478
-0.52759447,0.186053295,-0.097071681,0.013918569,-0.08410429,0.272545405,0.039499013,0.584747779,0.325649478
-0.52759447,0.186053295,-0.097071681,0.013918569,-0.08410429,0.272545405,0.039499013,0.584747779,0.325649478
