F61,F62,F63,F64,F65,F96,F97,F118,F119
-0.832308009,0.066681586,-0.455714238,-0.11691888,-0.110176729,0.428703556,0.093562095,0.570901702,0.252438101
-0.832308009,0.066681586,-0.455714238,-0.11691888,-0.110176729,0.428703556,0.093562095,0.570901702,0.252438101
-0.832308009,0.066681586,-0.455714238,-0.11691888,-0.110176729,0.428703556,0.093562095,0.570901702,0.252438101
-0.832308009,0.066681586,-0.455714238,-0.11691888,-0.110176729,0.428703556,0.093562095,0.570901702,0.252438101
-0.832308009,0.066681586,-0.455714238,-0.11691888,-0.110176729,0.428703556,0.093562095,0.570901702,0.252438101
-0.832308009,0.066681586,-0.455714238,-0.11691888,-0.110176729,0.428703556,0.093562095,0.570901702,0.252438101
-0.832308009,0.066681586,-0.455714238,-0.11691888,-0.110176729,0.428703556,0.093562095,0.570901702,0.252438101
-0.832308009,0.066681586,-0.455714238,-0.11691888,-0.110176729,0.428703556,0.093562095,0.570901702,0.252438101
-0.832308009,0.066681586,-0.455714238,-0.11691888,-0.110176729,0.428703556,0.093562095,0.570901702,0.252438101
-0.832308009,0.066681586,-0.455714238,-0.11691888,-0.110176729,0.428703556,0.093562095,0.570901702,0.252438101
-0.832308009,0.066681586,-0.455714238,-0.11691888,-0.110176729,0.428703556,0.093562095,0.570901702,0.252438101
-0.832308009,0.066681586,-0.455714238,-0.11691888,-0.110176729,0.428703556,0.093562095,0.570901702,0.252438101
-0.832308009,0.066681586,-0.455714238,-0.11691888,-0.110176729,0.428703556,0.093562095,0.570901702,0.252438101
-0.832308009,0.066681586,-0.455714238,-0.11691888,-0.110176729,0.428703556,0.093562095,0.570901702,0.252438101
-0.832308009,0.066681586,-0.455714238,-0.11691888,-0.110176729,0.428703556,0.093562095,0.570901702,0.252438101
-0.832308009,0.066681586,-0.455714238,-0.11691888,-0.110176729,0.428703556,0.093562095,0.570901702,0.252438101
-0.832308009,0.066681586,-0.455714238,-0.11691888,-0.110176729,0.428703556,0.093562095,0.570901702,0.252438101
-0.832308009,0.066681586,-0.455714238,-0.11691888,-0.110176729,0.428703556,0.093562095,0.570901702,0.252438101
-0.832308009,0.066681586,-0.455714238,-0.11691888,-0.110176729,0.428703556,0.093562095,0.570901702,0.252438101
-0.832308009,0.066681586,-0.455714238,-0.11691888,-0.110176729,0.428703556,0.093562095,0.570901702,0.252438101
-0.832308009,0.066681586,-0.455714238,-0.11691888,-0.110176729,0.428703556,0.093562095,0.570901702,0.252438101
-0.832308009,0.066681586,-0.455714238,-0.11691888,-0.110176729,0.428703556,0.093562095,0.570901702,0.252438101
-0.832308009,0.066681586,-0.455714238,-0.11691888,-0.110176729,0.428703556,0.093562095,0.570901702,0.252438101
-0.832308009,0.066681586,-0.455714238,-0.11691888,-0.110176729,0.428703556,0.093562095,0.570901702,0.252438101
