"","Fleet","Seas","catch","cratio"
"1",2,1,123.668,0.0189141745105388
"2",2,2,0,0
"3",2,3,8.4092,0.00128612960744916
"4",2,4,152.466,0.0233186315855663
"5",3,1,0,0
"6",3,2,5.1,0.00078001010773804
"7",3,3,542.2,0.0829257804736402
"8",3,4,16.2,0.00247767916575613
"9",5,1,0,0
"10",5,2,0,0
"11",5,3,0,0
"12",5,4,1566.64,0.239606869644455
"13",6,1,0,0
"14",6,2,195.822,0.0299496351602899
"15",6,3,375.301,0.0573997202831753
"16",6,4,51.1374,0.00782111546734181
"17",7,1,4.77049,0.000729613807620243
"18",7,2,7.60735,0.00116349213590215
"19",7,3,35.8616,0.00548478636856049
"20",7,4,12.2664,0.00187606195795253
"21",8,1,98.0215,0.0149917177991459
"22",8,2,110.485,0.0168979248536152
"23",8,3,312.449,0.0477869368926751
"24",8,4,0,0
"25",9,1,0,0
"26",9,2,0,0
"27",9,3,0,0
"28",9,4,232.874,0.0356164850645859
"29",18,1,0,0
"30",18,2,94.9208,0.014517486947957
"31",18,3,0,0
"32",18,4,0,0
"33",19,1,41.8081,0.0063942628598672
"34",19,2,0,0
"35",19,3,0,0
"36",19,4,0,0
"37",20,1,2.05497,0.000314293602176165
"38",20,2,0,0
"39",20,3,0,0
"40",20,4,771.723,0.118029753014495
"41",26,1,0,0
"42",26,2,183.342,0.0280409045437074
"43",26,3,115.778,0.0177074529909205
"44",26,4,0.81,0.000123883958287806
"45",27,1,1306.94,0.199887531413167
"46",27,2,0,0
"47",27,3,0,0
"48",27,4,169.721,0.0259576657834133
